,area_type,availability,society,total_sqft,bath,balcony,price,site_location,total_sqft_normalized,bhk
52,Super built-up  Area,1,103.42724561562883,1185.0,2.0,2.0,75.0,Mangalwar peth,0.022651183256490213,2
53,Super built-up  Area,1,94.7892599727384,1600.0,2.0,3.0,75.0,Manik Bagh,0.03059057603642555,3
54,Super built-up  Area,1,53.86099730192542,1200.0,2.0,2.0,44.0,Market yard,0.022938149260584264,2
55,Super built-up  Area,1,246.40798441112474,1500.0,2.0,2.0,185.0,Mukund Nagar,0.02867746934246523,2
56,Plot  Area,1,128.2697082088187,1407.0,4.0,1.0,150.0,Mundhawa,0.02689828011708213,1
57,Super built-up  Area,1,128.2697082088187,840.0,2.0,2.0,45.0,Nagar Road,0.016050965162327104,2
58,Plot  Area,1,128.2697082088187,4395.0,3.0,2.0,240.0,Nana Peth,0.08406190813261656,1
59,Super built-up  Area,1,102.94530995002042,845.0,2.0,1.0,55.0,Narayan Peth,0.01614662049702512,2
60,Plot  Area,1,308.95312281430324,5700.0,5.0,3.0,650.0,Narayangaon,0.10902795048879876,1
61,Built-up  Area,1,93.09597995716035,1160.0,2.0,2.0,44.0,Navi Peth,0.022172906583000133,2
62,Built-up  Area,1,128.2697082088187,3000.0,8.0,0.0,140.0,Padmavati,0.05737406975187006,1
63,Super built-up  Area,1,128.2697082088187,1100.0,2.0,1.0,62.0,Parvati Darshan,0.02102504256662394,2
64,Super built-up  Area,0,83.56020663334694,1140.0,2.0,3.0,43.0,Pashan,0.02179028524420807,2
65,Super built-up  Area,1,128.2697082088187,1220.0,2.0,1.0,57.0,Paud Road,0.023320770599376327,2
66,Plot  Area,1,128.2697082088187,1350.0,7.0,0.0,85.0,Pirangut,0.025807809301524747,1
67,Super built-up  Area,1,128.2697082088187,1005.0,2.0,1.0,36.68,Prabhat Road,0.019207591207361634,2
68,Plot  Area,1,128.2697082088187,500.0,3.0,2.0,100.0,Pune Railway Station,0.009546402402862008,1
69,Super built-up  Area,0,96.84212398000817,1358.0,2.0,1.0,80.58,Rasta Peth,0.025960857837041572,2
70,Super built-up  Area,1,111.06718597001225,1569.0,3.0,1.0,101.0,Raviwar Peth,0.02999751296129785,3
71,Super built-up  Area,0,102.7643745864898,1240.0,2.0,1.0,70.0,Sadashiv Peth,0.02370339193816839,2
72,Super built-up  Area,1,117.11197661668707,2089.0,3.0,2.0,140.0,Sahakar Nagar,0.03994566776989153,3
73,Super built-up  Area,1,128.2697082088187,1206.0,2.0,1.0,48.23,Salunke Vihar,0.02305293566222188,2
74,Super built-up  Area,1,128.2697082088187,1150.0,2.0,3.0,40.0,Sasson Road,0.0219815959136041,2
75,Built-up  Area,1,127.94530995002042,2511.0,3.0,3.0,205.0,Satara Road,0.04801897801840409,3
76,Built-up  Area,1,128.2697082088187,460.0,1.0,0.0,22.0,Senapati Bapat Road,0.00878115972527788,2
77,Built-up  Area,1,128.2697082088187,4400.0,6.0,3.0,250.0,Shaniwar Peth,0.08415756346731457,1
78,Super built-up  Area,1,111.27864328335374,1660.0,2.0,2.0,105.0,Shivaji Nagar,0.03173844005280174,3
79,Super built-up  Area,0,103.39886623125766,1326.0,2.0,2.0,78.0,Sinhagad Road,0.02534866369497427,2
80,Super built-up  Area,1,128.2697082088187,1325.0,2.0,2.0,60.8,Somwar Peth,0.025329532628034664,3
81,Super built-up  Area,1,109.52455138573178,1499.0,5.0,2.0,102.0,Swargate,0.028658338275525625,3
82,Built-up  Area,1,128.2697082088187,3000.0,7.0,2.0,210.0,Tilak Road,0.05737406975187006,1
83,Super built-up  Area,1,128.2697082088187,1665.0,3.0,2.0,88.0,Uruli Devachi,0.03183409538749976,3
84,Super built-up  Area,0,62.953782089480136,708.0,2.0,2.0,37.0,Vadgaon Budruk,0.013525664326299478,2
85,Super built-up  Area,1,90.54398246251532,1060.0,2.0,2.0,58.06,Wadgaon Sheri,0.020259799889039812,2
86,Plot  Area,1,128.2697082088187,710.0,6.0,3.0,160.0,Viman Nagar,0.013563926460178684,1
87,Built-up  Area,1,105.44530995002042,1000.0,2.0,2.0,70.0,Vishrant Wadi,0.01911193587266362,2
88,Super built-up  Area,0,128.2697082088187,1000.0,2.0,1.0,28.88,Wagholi,0.01911193587266362,2
89,Super built-up  Area,1,128.2697082088187,1450.0,2.0,2.0,70.0,Wakadewadi,0.027720915995485068,3
90,Plot  Area,1,128.2697082088187,1200.0,4.0,2.0,155.0,Wanowrie,0.022938149260584264,1
91,Super built-up  Area,0,84.79039744909315,1296.0,2.0,3.0,80.0,Warje,0.02477473168678617,2
92,Super built-up  Area,1,128.2697082088187,1540.0,3.0,2.0,90.0,Yerawada,0.029442712020049357,3
93,Plot  Area,1,134.6119766166871,2894.0,4.0,1.0,245.0,Alandi Road,0.05534617665627212,1
94,Super built-up  Area,1,128.2697082088187,1330.0,2.0,1.0,48.0,Ambegaon Budruk,0.02542518796273268,3
95,Built-up  Area,1,128.2697082088187,1200.0,2.0,1.0,65.0,Anandnagar,0.022938149260584264,2
96,Built-up  Area,1,128.2697082088187,1200.0,3.0,1.0,90.0,Aundh,0.022938149260584264,1
97,Super built-up  Area,1,81.66943719400246,2502.0,3.0,3.0,138.0,Aundh Road,0.047846798415947654,3
98,Built-up  Area,1,61.60653270001114,650.0,1.0,1.0,17.0,Balaji Nagar,0.012416062443802492,2
99,Plot  Area,1,118.77864328335374,2400.0,2.0,1.0,150.0,Baner,0.045895429588108126,1
100,Super built-up  Area,1,77.06718597001225,1007.0,2.0,2.0,43.0,Baner road,0.01924585334124084,2
101,Super built-up  Area,1,94.38169424287464,1200.0,2.0,2.0,50.0,Bhandarkar Road,0.022938149260584264,2
102,Super built-up  Area,1,128.2697082088187,966.0,2.0,2.0,49.9,Bhavani Peth,0.01846147959671711,2
103,Built-up  Area,1,128.2697082088187,1630.0,2.0,1.0,98.0,Bibvewadi,0.031164508044613647,3
104,Built-up  Area,1,229.44891768077395,1640.0,3.0,2.0,229.0,Bopodi,0.03135581871400968,3
105,Built-up  Area,1,128.2697082088187,782.0,2.0,2.0,55.68,Budhwar Peth,0.014941363279830117,2
106,Super built-up  Area,0,98.35026567144607,1260.0,2.0,2.0,66.78,Bund Garden Road,0.024086013276960454,2
107,Super built-up  Area,1,128.2697082088187,1800.0,3.0,3.0,120.0,Camp,0.03441678942434619,3
108,Super built-up  Area,1,119.66740852858892,1413.0,2.0,2.0,75.0,Chandan Nagar,0.02701306651871975,3
109,Super built-up  Area,1,76.37298997858018,1116.0,2.0,1.0,51.91,Dapodi,0.021331139637657592,2
110,Super built-up  Area,1,70.05370426429445,1530.0,2.0,1.0,45.9,Deccan Gymkhana,0.029251401350653326,3
111,Built-up  Area,1,128.2697082088187,3700.0,4.0,1.0,225.0,Dehu Road,0.07076581660959232,1
112,Built-up  Area,1,105.33398246251531,2497.0,3.0,2.0,140.0,Dhankawadi,0.04775114308124964,1
113,Super built-up  Area,1,87.2968733000136,1540.0,2.0,3.0,64.0,Dhayari Phata,0.029442712020049357,3
114,Super built-up  Area,0,128.2697082088187,1436.0,3.0,1.0,74.75,Dhole Patil Road,0.027453081058330622,3
115,Super built-up  Area,0,128.2697082088187,1100.0,2.0,2.0,75.0,Erandwane,0.02102504256662394,2
116,Plot  Area,1,128.2697082088187,276.0,3.0,3.0,23.0,Fatima Nagar,0.005261043408390886,1
117,Super built-up  Area,1,100.72353996668028,1427.0,3.0,2.0,120.0,Fergusson College Road,0.027280901455874196,3
118,Super built-up  Area,1,139.0839824625153,2061.0,3.0,1.0,200.0,Ganesh Peth,0.03940999789558264,3
119,Built-up  Area,1,128.2697082088187,2650.0,4.0,2.0,150.0,Ghorpade Peth,0.050678196323008934,4
120,Super built-up  Area,0,76.01091228462481,1282.0,2.0,2.0,68.52,Ghorpadi,0.02450689674963173,3
121,Built-up  Area,1,128.2697082088187,1050.0,2.0,1.0,34.0,Gokhale Nagar,0.02006848921964378,2
122,Built-up  Area,1,104.61197661668707,1600.0,3.0,2.0,65.0,Gultekdi,0.03059057603642555,3
123,Super built-up  Area,0,128.2697082088187,945.0,2.0,1.0,54.0,Guruwar peth,0.01805972719098544,2
124,Super built-up  Area,1,104.70898246251531,1500.0,2.0,1.0,78.0,Hadapsar,0.02867746934246523,2
125,Plot  Area,1,128.2697082088187,950.0,7.0,0.0,115.0,Hadapsar Industrial Estate,0.018155382525683456,1
126,Built-up  Area,1,112.11197661668707,1870.0,3.0,3.0,110.0,Hingne Khurd,0.03575596411011842,3
127,Plot  Area,1,102.23883710001749,1600.0,3.0,1.0,75.0,Jangali Maharaj Road,0.03059057603642555,1
128,Super built-up  Area,1,35.31799516207319,880.0,1.0,1.0,16.5,Kalyani Nagar,0.01681620783991123,2
129,Plot  Area,1,128.2697082088187,1200.0,4.0,0.0,210.0,Karve Nagar,0.022938149260584264,1
130,Super built-up  Area,1,95.7226549750102,1535.0,3.0,2.0,83.0,Karve Road,0.02934705668535134,3
131,Built-up  Area,1,78.30860459231711,950.0,2.0,1.0,57.0,Kasba Peth,0.018155382525683456,2
132,Super built-up  Area,0,98.95312281430321,1360.0,2.0,1.0,65.0,Katraj,0.02599911997092078,2
133,Super built-up  Area,0,128.2697082088187,1280.0,3.0,1.0,50.4,Khadki,0.02446863461575252,3
134,Super built-up  Area,0,104.68169424287464,1260.0,2.0,2.0,85.05,Kharadi,0.024086013276960454,3
135,Built-up  Area,1,128.2697082088187,5000.0,8.0,2.0,250.0,Kondhwa,0.0956362036310765,1
136,Super built-up  Area,0,141.36909552223582,3050.0,5.0,1.0,213.0,Kondhwa Budruk,0.058330623098850225,5
137,Super built-up  Area,1,119.58398246251531,1563.05,3.0,1.0,105.0,Kondhwa Khurd,0.029883683113007212,3
138,Super built-up  Area,1,128.2697082088187,1000.0,2.0,1.0,60.0,Koregaon Park,0.01911193587266362,2
139,Super built-up  Area,0,69.7954573133415,1167.0,2.0,1.0,43.76,Kothrud,0.022306824051577356,2
140,Super built-up  Area,1,128.2697082088187,4000.0,7.0,2.0,225.0,Law College Road,0.07650513669147328,7
141,Super built-up  Area,1,112.1484366500068,1828.0,3.0,2.0,110.0,Laxmi Road,0.034952459298655085,3
142,Super built-up  Area,1,99.61197661668707,890.0,2.0,1.0,35.0,Lulla Nagar,0.017007518509307266,2
143,Super built-up  Area,1,91.76026567144606,1612.0,3.0,3.0,46.74,Mahatma Gandhi Road,0.03082014883970079,3
144,Plot  Area,1,128.2697082088187,1034.0,5.0,2.0,185.0,Mangalwar peth,0.019762392148610128,1
145,Super built-up  Area,0,80.43937382308634,1710.0,4.0,2.0,91.31,Manik Bagh,0.03269499339978191,3
146,Super built-up  Area,1,81.33380542728386,957.0,2.0,1.0,58.0,Market yard,0.01828929999426068,2
147,Super built-up  Area,0,128.2697082088187,1250.0,2.0,3.0,44.0,Model colony,0.023894702607564423,3
148,Super built-up  Area,1,157.8339824625153,2795.0,4.0,2.0,235.0,Mukund Nagar,0.053452201029251405,3
149,Super built-up  Area,1,102.11197661668707,1125.0,2.0,2.0,50.0,Mundhawa,0.021503319240114022,2
150,Super built-up  Area,0,40.03784155781442,1020.0,2.0,1.0,30.6,Nagar Road,0.019494557211455682,2
151,Super built-up  Area,1,128.2697082088187,1200.0,2.0,2.0,50.0,Nana Peth,0.022938149260584264,2
152,Super built-up  Area,1,128.11679649250306,1735.0,3.0,3.0,135.0,Narayan Peth,0.03317327007327198,3
153,Super built-up  Area,1,137.51010939412487,2050.0,3.0,1.0,145.0,Narayangaon,0.039199556159247,3
154,Plot  Area,1,128.2697082088187,3750.0,4.0,0.0,760.0,Navi Peth,0.07172236995657248,1
155,Built-up  Area,1,128.2697082088187,1350.0,2.0,3.0,48.0,Padmavati,0.025807809301524747,3
156,Super built-up  Area,0,65.87432164167687,1063.0,2.0,1.0,32.0,Parvati Darshan,0.02031719308985862,2
157,Super built-up  Area,1,131.05598830834353,1904.0,3.0,1.0,150.0,Pashan,0.03640642038606493,3
158,Built-up  Area,1,128.2697082088187,4200.0,4.0,2.0,420.0,Paud Road,0.08033135007939393,1
159,Super built-up  Area,1,122.94530995002042,2000.0,3.0,1.0,175.0,Pirangut,0.03824300281226684,3
160,Super built-up  Area,1,102.52455138573178,1425.0,2.0,2.0,75.0,Pune Railway Station,0.02724263932199499,3
161,Super built-up  Area,1,59.40839114262496,1500.0,2.0,1.0,64.5,Rasta Peth,0.02867746934246523,3
162,Built-up  Area,1,59.40839114262496,1060.0,2.0,1.0,60.0,Raviwar Peth,0.020259799889039812,2
163,Built-up  Area,1,105.44530995002042,1470.0,2.0,2.0,70.0,Sadashiv Peth,0.02810353733427713,3
164,Super built-up  Area,1,128.2697082088187,1300.0,6.0,0.0,99.0,Sahakar Nagar,0.024851255954544585,6
165,Super built-up  Area,1,42.08363880588956,450.0,1.0,1.0,11.0,Salunke Vihar,0.008589849055881846,1
166,Super built-up  Area,0,74.32373814259485,1152.0,2.0,1.0,64.5,Sasson Road,0.02201985804748331,2
167,Super built-up  Area,1,59.40839114262496,1350.0,2.0,1.0,56.0,Satara Road,0.025807809301524747,3
168,Super built-up  Area,1,92.83398246251531,1550.0,3.0,3.0,65.0,Senapati Bapat Road,0.02963402268944539,3
169,Plot  Area,1,128.2697082088187,1500.0,3.0,2.0,100.0,Shaniwar Peth,0.02867746934246523,1
170,Plot  Area,1,128.2697082088187,600.0,3.0,2.0,85.0,Shivaji Nagar,0.01145950909682233,1
171,Plot  Area,1,128.2697082088187,400.0,1.0,0.0,14.0,Shukrawar Peth,0.007633295708901686,1
172,Super built-up  Area,1,104.94530995002042,705.0,1.0,2.0,67.0,Sinhagad Road,0.013468271125480668,1
173,Built-up  Area,1,59.40839114262496,770.0,1.0,1.0,36.0,Somwar Peth,0.014711790476554878,2
174,Super built-up  Area,1,102.27864328335374,1242.0,2.0,3.0,51.0,Swargate,0.023741654072047598,2
175,Super built-up  Area,1,147.03952115883075,1700.0,3.0,2.0,155.0,Tilak Road,0.032503682730385876,3
176,Super built-up  Area,1,128.11679649250306,2144.0,3.0,2.0,145.0,Uruli Devachi,0.0409978764515697,3
177,Super built-up  Area,0,92.35653270001113,1704.0,3.0,2.0,110.0,Vadgaon Budruk,0.03258020699814429,3
178,Super built-up  Area,1,59.40839114262496,1070.0,2.0,1.0,52.0,Wadgaon Sheri,0.020451110558435844,2
179,Plot  Area,1,128.2697082088187,1846.0,3.0,2.0,300.0,Viman Nagar,0.035296818503567945,1
180,Super built-up  Area,1,128.2697082088187,1340.0,2.0,2.0,55.7,Vishrant Wadi,0.025616498632128715,2
181,Built-up  Area,1,59.40839114262496,1025.0,2.0,1.0,46.0,Wagholi,0.019590212546153698,2
182,Super built-up  Area,1,95.23883710001749,1200.0,2.0,2.0,52.0,Wanowrie,0.022938149260584264,2
183,Built-up  Area,0,128.2697082088187,2250.0,4.0,1.0,110.0,Warje,0.04302576954716764,1
184,Super built-up  Area,1,98.51909552223583,1550.0,2.0,3.0,80.0,Yerawada,0.02963402268944539,3
185,Plot  Area,1,128.2697082088187,1200.0,5.0,2.0,325.0,Alandi Road,0.022938149260584264,1
186,Plot  Area,1,128.2697082088187,1800.0,7.0,1.0,250.0,Ambegaon Budruk,0.03441678942434619,1
187,Super built-up  Area,1,94.70898246251531,1200.0,2.0,2.0,60.0,Anandnagar,0.022938149260584264,2
188,Super built-up  Area,1,96.98272945790119,1327.0,2.0,2.0,98.0,Aundh,0.02536779476191387,2
189,Super built-up  Area,1,128.2697082088187,1186.0,2.0,2.0,58.0,Aundh Road,0.022670314323429818,2
190,Built-up  Area,1,128.2697082088187,1783.0,3.0,1.0,115.0,Balaji Nagar,0.03409156128637294,1
191,Super built-up  Area,1,63.233592985006126,1400.0,3.0,2.0,56.0,Baner,0.026764362648504906,3
192,Super built-up  Area,1,128.2697082088187,980.0,2.0,1.0,48.0,Baner road,0.018729314533871555,2
193,Super built-up  Area,1,128.2697082088187,1285.0,2.0,2.0,82.0,Bhandarkar Road,0.024564289950450537,2
194,Super built-up  Area,1,128.2697082088187,912.0,2.0,1.0,70.0,Bhavani Peth,0.017428401981978536,3
195,Built-up  Area,1,88.75242885556916,1225.0,2.0,2.0,47.6,Bibvewadi,0.023416425934074343,2
196,Super built-up  Area,1,128.2697082088187,1075.0,2.0,1.0,53.0,Bopodi,0.02054676589313386,2
197,Built-up  Area,1,90.45898246251531,1260.0,2.0,2.0,54.0,Budhwar Peth,0.024086013276960454,3
198,Super built-up  Area,1,68.79957156316433,1282.0,2.0,2.0,48.7,Bund Garden Road,0.02450689674963173,3
199,Super built-up  Area,1,108.44530995002042,1909.0,3.0,2.0,88.0,Camp,0.036502075720762944,3
200,Super built-up  Area,1,98.20693998421697,1359.0,2.0,1.0,87.0,Chandan Nagar,0.025979988903981174,2
201,Built-up  Area,1,128.2697082088187,1207.0,2.0,2.0,43.5,Dapodi,0.023072066729161487,2
202,Plot  Area,1,128.2697082088187,1736.0,6.0,0.0,190.0,Deccan Gymkhana,0.03319240114021159,1
203,Super built-up  Area,0,128.2697082088187,2850.0,4.0,1.0,428.0,Dehu Road,0.054504409710929576,4
204,Super built-up  Area,1,104.61197661668707,1595.0,3.0,2.0,65.0,Dhankawadi,0.030494920701727535,3
205,Built-up  Area,0,128.2697082088187,1798.0,3.0,2.0,89.0,Dhayari Phata,0.03437852729046699,3
206,Super built-up  Area,1,97.65242885556917,1475.0,3.0,2.0,78.29,Dhole Patil Road,0.028199192668975148,3
207,Super built-up  Area,1,110.44530995002042,1580.0,3.0,3.0,100.0,Erandwane,0.030207954697633488,3
208,Super built-up  Area,1,88.66718597001224,1295.0,2.0,1.0,65.0,Fatima Nagar,0.02475560061984657,2
209,Built-up  Area,1,128.2697082088187,3600.0,6.0,0.0,141.0,Fergusson College Road,0.068852709915632,1
210,Super built-up  Area,1,60.666991231257654,589.0,1.0,1.0,27.0,Ganesh Peth,0.011249067360486694,1
211,Super built-up  Area,1,128.2697082088187,1415.0,3.0,3.0,78.0,Ganeshkhind,0.027051328652598957,3
212,Super built-up  Area,0,128.36235725909648,1787.0,3.0,2.0,98.29,Ghorpade Peth,0.03416808555413135,3
213,Super built-up  Area,1,128.36235725909648,1787.0,3.0,2.0,125.0,Ghorpadi,0.03416808555413135,3
214,Super built-up  Area,1,108.77864328335374,1475.0,2.0,3.0,90.0,Gokhale Nagar,0.028199192668975148,3
215,Built-up  Area,1,128.2697082088187,2000.0,4.0,1.0,75.5,Gultekdi,0.03824300281226684,4
216,Super built-up  Area,0,67.73087438800489,984.0,2.0,1.0,44.28,Guruwar peth,0.018805838801629966,2
217,Super built-up  Area,1,168.9531228143032,2405.0,4.0,2.0,260.0,Hadapsar Industrial Estate,0.045991084922806146,3
218,Built-up  Area,1,87.87792356071866,1080.0,2.0,2.0,72.0,Hingne Khurd,0.020642421227831876,2
219,Plot  Area,1,128.2697082088187,1500.0,2.0,1.0,115.0,Jangali Maharaj Road,0.02867746934246523,1
220,Super built-up  Area,1,128.2697082088187,1900.0,3.0,2.0,119.0,Kalyani Nagar,0.03632989611830652,3
221,Super built-up  Area,0,128.2697082088187,805.0,2.0,1.0,22.14,Karve Nagar,0.01538137781944099,2
222,Super built-up  Area,1,75.01267659811552,1153.0,2.0,2.0,56.4,Karve Road,0.02203898911442291,2
223,Super built-up  Area,1,97.39783536154788,1148.0,2.0,2.0,60.0,Kasba Peth,0.021943333779724895,2
224,Super built-up  Area,1,94.09597995716035,1110.0,2.0,2.0,55.0,Katraj,0.02121635323601997,2
225,Built-up  Area,1,100.77864328335374,1100.0,2.0,2.0,42.0,Khadaki,0.02102504256662394,2
226,Super built-up  Area,1,112.11197661668707,1290.0,2.0,2.0,110.0,Khadki,0.024659945285148553,2
227,Super built-up  Area,1,128.2697082088187,1500.0,2.0,1.0,65.0,Kharadi,0.02867746934246523,3
228,Super built-up  Area,0,128.2697082088187,1080.0,2.0,2.0,39.0,Kondhwa,0.020642421227831876,2
229,Super built-up  Area,0,100.69679064667483,1933.0,3.0,1.0,129.0,Kondhwa Budruk,0.03696122132731342,3
230,Built-up  Area,1,128.2697082088187,3500.0,5.0,2.0,150.0,Kondhwa Khurd,0.06693960322167167,1
231,Built-up  Area,1,128.2697082088187,1060.0,2.0,2.0,60.0,Koregaon Park,0.020259799889039812,2
232,Super built-up  Area,0,35.724663069233905,645.0,1.0,1.0,16.45,Kothrud,0.012320407109104474,1
233,Plot  Area,1,128.2697082088187,2600.0,8.0,2.0,180.0,Law College Road,0.049721642976028775,1
234,Super built-up  Area,0,35.724663069233905,645.0,1.0,1.0,16.45,Laxmi Road,0.012320407109104474,1
235,Super built-up  Area,1,98.36718597001224,1644.0,3.0,3.0,84.0,Lulla Nagar,0.03143234298176809,3
236,Super built-up  Area,1,105.86197661668707,1285.0,2.0,3.0,72.5,Mahatma Gandhi Road,0.024564289950450537,2
237,Plot  Area,1,128.2697082088187,1200.0,3.0,1.0,90.0,Mangalwar peth,0.022938149260584264,1
238,Super built-up  Area,1,92.09597995716035,910.0,2.0,1.0,40.0,Manik Bagh,0.01739013984809933,2
239,Super built-up  Area,1,99.66740852858892,1577.0,3.0,1.0,70.0,Market yard,0.03015056149681468,3
240,Plot  Area,0,190.69744179092024,4050.0,3.0,2.0,280.0,Model colony,0.07746169003845345,1
241,Super built-up  Area,1,120.09597995716035,2420.0,3.0,2.0,185.0,Mukund Nagar,0.0462780509269002,3
242,Super built-up  Area,1,61.60653270001114,800.0,1.0,1.0,20.0,Mundhawa,0.015285722484742975,2
243,Built-up  Area,1,128.2697082088187,1060.0,2.0,2.0,55.0,Nagar Road,0.020259799889039812,2
244,Super built-up  Area,1,136.43009787895383,1270.0,2.0,2.0,93.0,Nana Peth,0.02427732394635649,2
245,Super built-up  Area,0,128.2697082088187,900.0,2.0,2.0,22.5,Narayan Peth,0.017198829178703297,2
246,Built-up  Area,1,128.2697082088187,1280.0,2.0,1.0,69.0,Narayangaon,0.02446863461575252,1
